prefix,begin,end,count
un,un,up,20146
co,co,cp,10963
re,re,rf,10299
pr,pr,ps,9239
no,no,np,8710
in,in,io,8090
su,su,sv,6868
de,de,dfault,6469
ca,ca,cb,6453
di,di,dj,6188
pa,pa,pbx,5769
an,an,ao,5118
ma,ma,mb,5048
ch,ch,cia,4965
st,st,su,4886
tr,tr,ts,4755
se,se,sf,4583
pe,pe,pf,4360
mi,mi,mk,4337
po,po,pp,4171
ov,ova,ow,4032
me,me,mf,3938
ba,ba,bb,3897
be,be,bf,3718
mo,mo,mp,3567
he,he,hf,3547
sp,sp,sq,3441
sa,sa,sb,3297
sc,sc,sd,3103
te,te,tfr,3007
ph,ph,pi,2978
en,en,eo,2936
la,la,lb,2887
ha,ha,hb,2850
hy,hy,i,2831
th,th,ti,2713
ta,ta,tb,2642
ho,ho,hp,2572
cr,cr,cs,2570
br,br,bs,2569
ar,ar,as,2546
al,al,am,2496
ex,ex,ey,2495
fo,fo,fp,2483
sh,sh,si,2452
bo,bo,bp,2402
li,li,ll,2291
ga,ga,gcd,2255
pl,pl,pm,2192
ra,ra,rbound,2192
ac,ac,ad,2185
so,so,sp,2180
gr,gr,gs,2179
bi,bi,bjorne,2125
to,to,tp,2122
pi,pi,pk,2112
si,si,sjaak,2085
fl,fl,fm,1977
ou,ouabain,ova,1967
ne,ne,ng,1933
bu,bu,bv,1918
do,do,dp,1894
mu,mu,mv,1890
le,le,lf,1875
wa,wa,wb,1797
cl,cl,cm,1790
im,im,in,1745
qu,qu,qv,1740
am,am,an,1734
fi,fi,fjarding,1706
fa,fa,fb,1700
lo,lo,lp,1649
ve,veadar,vg,1621
vi,vi,vl,1620
ro,ro,rpm,1601
fr,fr,fs,1577
ap,ap,aq,1540
as,as,at,1535
ce,ce,cf,1512
pu,pu,pvt,1512
bl,bl,bm,1502
cu,cu,cv,1497
da,da,db,1452
ge,ge,ggr,1447
ad,ad,ae,1356
au,auantic,av,1345
ps,ps,pt,1343
fe,fe,ff,1338
or,or,os,1323
tu,tu,tv,1315
wi,wi,wjc,1309
ti,ti,tjaele,1295
go,go,gp,1282
gl,gl,gm,1281
va,va,vb,1276
sy,syagush,szaibelyite,1272
el,el,em,1233
dr,dr,ds,1201
ab,ab,ac,1179
na,na,nb,1177
ep,ep,eq,1162
ci,cia,ck,1136
sl,sl,sm,1133
em,em,en,1103
wh,wh,wi,1098
gu,gu,gv,1058
hi,hi,hl,1051
cy,cy,czar,1048
fu,fu,fv,1045
ri,ria,rld,1031
wo,wo,wpm,987
du,du,dvaita,973
is,is,it,899
my,my,mzee,898
